id,label,item_id,kind,course_id,section_index,section_slug,section_title,section_chunk_index,week,order,tags,source_path,metrics
0,assign_3_blame.pdf,assign_3_blame,concept,21w.735-fall-2004,6,resources,Resources,0,3,0,,resources/assign_3_blame,
1,assignment_1_rwe.pdf,assignment_1_rwe,problem_set,21w.735-fall-2004,6,resources,Resources,1,1,1,,resources/assignment_1_rwe,
2,assignment_2.pdf,assignment_2,problem_set,21w.735-fall-2004,6,resources,Resources,1,2,2,,resources/assignment_2,
3,bas_elem_of_esay.pdf,bas_elem_of_esay,concept,21w.735-fall-2004,6,resources,Resources,0,6,3,,resources/bas_elem_of_esay,
4,bas_plot_of_esay.pdf,bas_plot_of_esay,concept,21w.735-fall-2004,6,resources,Resources,0,6,4,,resources/bas_plot_of_esay,
5,direct_free_writ.pdf,direct_free_writ,concept,21w.735-fall-2004,6,resources,Resources,0,6,5,,resources/direct_free_writ,
6,essay_4.pdf,essay_4,reading,21w.735-fall-2004,6,resources,Resources,0,4,6,,resources/essay_4,
7,essay_5.pdf,essay_5,reading,21w.735-fall-2004,6,resources,Resources,1,5,7,,resources/essay_5,
8,grading_crtr_735.pdf,grading_crtr_735,concept,21w.735-fall-2004,6,resources,Resources,1,735,8,,resources/grading_crtr_735,
9,logicoftheessay.pdf,logicoftheessay,reading,21w.735-fall-2004,6,resources,Resources,1,6,9,,resources/logicoftheessay,
