id,label,item_id,kind,course_id,section_index,section_slug,section_title,section_chunk_index,week,order,tags,source_path,metrics
0,0.1 Vectors vs. Scalars,review-vectors-0-1-vectors-vs--scalars,lecture,8.01sc-fall-2016,4,review-vectors,Review Vectors,0,0,0,,pages/review-vectors/0-1-vectors-vs--scalars,
1,0.2 Vector Operators,review-vectors-0-2-vector-operators,lecture,8.01sc-fall-2016,4,review-vectors,Review Vectors,0,0,1,,pages/review-vectors/0-2-vector-operators,
2,0.3 Coordinate Systems and Unit Vectors,review-vectors-0-3-coordinate-systems-and-unit-vectors,lecture,8.01sc-fall-2016,4,review-vectors,Review Vectors,0,0,2,,pages/review-vectors/0-3-coordinate-systems-and-unit-vectors,
3,0.4 Vectors - Magnitude and Direction,review-vectors-0-4-vectors-magnitude-and-direction,lecture,8.01sc-fall-2016,4,review-vectors,Review Vectors,0,0,3,,pages/review-vectors/0-4-vectors-magnitude-and-direction,
4,0.5 Vector Decomposition into Components,review-vectors-0-5-vector-decomposition-into-components,lecture,8.01sc-fall-2016,4,review-vectors,Review Vectors,0,0,4,,pages/review-vectors/0-5-vector-decomposition-into-components,
5,0.6 Going Between Representations,review-vectors-0-6-going-between-representations,lecture,8.01sc-fall-2016,4,review-vectors,Review Vectors,1,0,5,,pages/review-vectors/0-6-going-between-representations,
6,About the Team,syllabus-about-the-team,lecture,8.01sc-fall-2016,5,syllabus,Syllabus,0,5,6,,pages/syllabus/about-the-team,
7,1.1 Coordinate Systems and Unit Vectors in 1D Position Vector in 1D,week-1-kinematics-1-1-coordinate-systems-and-unit-vectors-in-1d-position-vector-in-1d,lecture,8.01sc-fall-2016,6,week-1-kinematics,Week 1 Kinematics,0,1,7,,pages/week-1-kinematics/1-1-coordinate-systems-and-unit-vectors-in-1d-position-vector-in-1d,
8,1.2 Position Vector in 1D,week-1-kinematics-1-2-position-vector-in-1d,lecture,8.01sc-fall-2016,6,week-1-kinematics,Week 1 Kinematics,0,1,8,,pages/week-1-kinematics/1-2-position-vector-in-1d,
9,1.3 Displacement Vector in 1D,week-1-kinematics-1-3-displacement-vector-in-1d,exam,8.01sc-fall-2016,6,week-1-kinematics,Week 1 Kinematics,4,1,9,,pages/week-1-kinematics/1-3-displacement-vector-in-1d,
10,1.4 Average Velocity in 1D,week-1-kinematics-1-4-average-velocity-in-1d,lecture,8.01sc-fall-2016,6,week-1-kinematics,Week 1 Kinematics,0,1,10,,pages/week-1-kinematics/1-4-average-velocity-in-1d,
11,1.5 Instantaneous Velocity in 1D,week-1-kinematics-1-5-instantaneous-velocity-in-1d,lecture,8.01sc-fall-2016,6,week-1-kinematics,Week 1 Kinematics,0,1,11,,pages/week-1-kinematics/1-5-instantaneous-velocity-in-1d,
