id,label,item_id,kind,course_id,section_index,section_slug,section_title,section_chunk_index,week,order,tags,source_path,metrics
0,Exam 1,1.-differentiation-exam-1,exam,18.01sc-fall-2010,1,1.-differentiation,1. Differentiation,3,1,0,,pages/1.-differentiation/exam-1,
1,Session 21: Review for Exam 1,1.-differentiation-exam-1-session-21-review-for-exam-1-computing-derivatives-using-differentiation-rules,exam,18.01sc-fall-2010,1,1.-differentiation,1. Differentiation,3,21,1,,pages/1.-differentiation/exam-1/session-21-review-for-exam-1-computing-derivatives-using-differentiation-rules,
2,Session 22: Materials for Exam 1,1.-differentiation-exam-1-session-22-materials-for-exam-1,exam,18.01sc-fall-2010,1,1.-differentiation,1. Differentiation,3,22,2,,pages/1.-differentiation/exam-1/session-22-materials-for-exam-1,
3,Part A: Definition and Basic Rules,1.-differentiation-part-a-definition-and-basic-rules,recitation,18.01sc-fall-2010,1,1.-differentiation,1. Differentiation,0,1,3,,pages/1.-differentiation/part-a-definition-and-basic-rules,
4,Problem Set 1,1.-differentiation-part-a-definition-and-basic-rules-problem-set-1,recitation,18.01sc-fall-2010,1,1.-differentiation,1. Differentiation,0,1,4,,pages/1.-differentiation/part-a-definition-and-basic-rules/problem-set-1,
5,Session 1: Introduction to Derivatives,1.-differentiation-part-a-definition-and-basic-rules-session-1-introduction-to-derivatives,recitation,18.01sc-fall-2010,1,1.-differentiation,1. Differentiation,0,1,5,,pages/1.-differentiation/part-a-definition-and-basic-rules/session-1-introduction-to-derivatives,
6,Session 10: Quotient Rule,1.-differentiation-part-a-definition-and-basic-rules-session-10-quotient-rule,recitation,18.01sc-fall-2010,1,1.-differentiation,1. Differentiation,0,10,6,,pages/1.-differentiation/part-a-definition-and-basic-rules/session-10-quotient-rule,
7,Session 11: Chain Rule,1.-differentiation-part-a-definition-and-basic-rules-session-11-chain-rule,recitation,18.01sc-fall-2010,1,1.-differentiation,1. Differentiation,0,11,7,,pages/1.-differentiation/part-a-definition-and-basic-rules/session-11-chain-rule,
8,Session 12: Higher Derivatives,1.-differentiation-part-a-definition-and-basic-rules-session-12-higher-derivatives,exam,18.01sc-fall-2010,1,1.-differentiation,1. Differentiation,3,12,8,,pages/1.-differentiation/part-a-definition-and-basic-rules/session-12-higher-derivatives,
9,Session 2: Examples of Derivatives,1.-differentiation-part-a-definition-and-basic-rules-session-2-examples-of-derivatives,exam,18.01sc-fall-2010,1,1.-differentiation,1. Differentiation,4,2,9,,pages/1.-differentiation/part-a-definition-and-basic-rules/session-2-examples-of-derivatives,
10,Session 3: Derivative as Rate of Change,1.-differentiation-part-a-definition-and-basic-rules-session-3-derivative-as-rate-of-change,exam,18.01sc-fall-2010,1,1.-differentiation,1. Differentiation,4,3,10,,pages/1.-differentiation/part-a-definition-and-basic-rules/session-3-derivative-as-rate-of-change,
11,Session 4: Limits and Continuity,1.-differentiation-part-a-definition-and-basic-rules-session-4-limits-and-continuity,recitation,18.01sc-fall-2010,1,1.-differentiation,1. Differentiation,1,4,11,,pages/1.-differentiation/part-a-definition-and-basic-rules/session-4-limits-and-continuity,
12,Session 5: Discontinuity,1.-differentiation-part-a-definition-and-basic-rules-session-5-discontinuity,exam,18.01sc-fall-2010,1,1.-differentiation,1. Differentiation,4,5,12,,pages/1.-differentiation/part-a-definition-and-basic-rules/session-5-discontinuity,
13,Session 6: Calculating Derivatives,1.-differentiation-part-a-definition-and-basic-rules-session-6-calculating-derivatives,recitation,18.01sc-fall-2010,1,1.-differentiation,1. Differentiation,1,6,13,,pages/1.-differentiation/part-a-definition-and-basic-rules/session-6-calculating-derivatives,
14,Session 7: Derivatives of Sine and Cosine,1.-differentiation-part-a-definition-and-basic-rules-session-7-derivatives-of-sine-and-cosine,recitation,18.01sc-fall-2010,1,1.-differentiation,1. Differentiation,1,7,14,,pages/1.-differentiation/part-a-definition-and-basic-rules/session-7-derivatives-of-sine-and-cosine,
15,Session 8: Limits of Sine and Cosine,1.-differentiation-part-a-definition-and-basic-rules-session-8-limits-of-sine-and-cosine,exam,18.01sc-fall-2010,1,1.-differentiation,1. Differentiation,4,8,15,,pages/1.-differentiation/part-a-definition-and-basic-rules/session-8-limits-of-sine-and-cosine,
16,Session 9: Product Rule,1.-differentiation-part-a-definition-and-basic-rules-session-9-product-rule,recitation,18.01sc-fall-2010,1,1.-differentiation,1. Differentiation,1,9,16,,pages/1.-differentiation/part-a-definition-and-basic-rules/session-9-product-rule,
17,Part B: Implicit Differentiation and Inverse Functions,1.-differentiation-part-b-implicit-differentiation-and-inverse-functions,recitation,18.01sc-fall-2010,1,1.-differentiation,1. Differentiation,1,13,17,,pages/1.-differentiation/part-b-implicit-differentiation-and-inverse-functions,
18,Problem Set 2,1.-differentiation-part-b-implicit-differentiation-and-inverse-functions-problem-set-2,recitation,18.01sc-fall-2010,1,1.-differentiation,1. Differentiation,2,2,18,,pages/1.-differentiation/part-b-implicit-differentiation-and-inverse-functions/problem-set-2,
19,Session 13: Implicit Differentiation,1.-differentiation-part-b-implicit-differentiation-and-inverse-functions-session-13-implicit-differentiation,exam,18.01sc-fall-2010,1,1.-differentiation,1. Differentiation,4,13,19,,pages/1.-differentiation/part-b-implicit-differentiation-and-inverse-functions/session-13-implicit-differentiation,
20,Session 14: Examples of Implicit Differentiation,1.-differentiation-part-b-implicit-differentiation-and-inverse-functions-session-14-examples-of-implicit-differentiation,recitation,18.01sc-fall-2010,1,1.-differentiation,1. Differentiation,2,14,20,,pages/1.-differentiation/part-b-implicit-differentiation-and-inverse-functions/session-14-examples-of-implicit-differentiation,
21,Session 15: Implicit Differentiation and Inverse Functions,1.-differentiation-part-b-implicit-differentiation-and-inverse-functions-session-15-implicit-differentiation-and-inverse-functions,recitation,18.01sc-fall-2010,1,1.-differentiation,1. Differentiation,2,15,21,,pages/1.-differentiation/part-b-implicit-differentiation-and-inverse-functions/session-15-implicit-differentiation-and-inverse-functions,
22,Session 16: The Derivative of a^x,1.-differentiation-part-b-implicit-differentiation-and-inverse-functions-session-16-the-derivative-of-a-x,exam,18.01sc-fall-2010,1,1.-differentiation,1. Differentiation,5,16,22,,pages/1.-differentiation/part-b-implicit-differentiation-and-inverse-functions/session-16-the-derivative-of-a-x,
23,Session 17: The Exponential Function, its Derivative, and its Inverse,1.-differentiation-part-b-implicit-differentiation-and-inverse-functions-session-17-the-exponential-function-its-derivative-and-its-inverse,recitation,18.01sc-fall-2010,1,1.-differentiation,1. Differentiation,2,17,23,,pages/1.-differentiation/part-b-implicit-differentiation-and-inverse-functions/session-17-the-exponential-function-its-derivative-and-its-inverse,
24,Session 18: Derivatives of other Exponential Functions,1.-differentiation-part-b-implicit-differentiation-and-inverse-functions-session-18-derivatives-of-other-exponential-functions,recitation,18.01sc-fall-2010,1,1.-differentiation,1. Differentiation,2,18,24,,pages/1.-differentiation/part-b-implicit-differentiation-and-inverse-functions/session-18-derivatives-of-other-exponential-functions,
25,Session 19: An Interesting Limit Involving e,1.-differentiation-part-b-implicit-differentiation-and-inverse-functions-session-19-an-interesting-limit-involving-e,exam,18.01sc-fall-2010,1,1.-differentiation,1. Differentiation,5,19,25,,pages/1.-differentiation/part-b-implicit-differentiation-and-inverse-functions/session-19-an-interesting-limit-involving-e,
26,Session 20: Hyperbolic Trig Functions,1.-differentiation-part-b-implicit-differentiation-and-inverse-functions-session-20-hyperbolic-trig-functions,recitation,18.01sc-fall-2010,1,1.-differentiation,1. Differentiation,3,20,26,,pages/1.-differentiation/part-b-implicit-differentiation-and-inverse-functions/session-20-hyperbolic-trig-functions,
27,Exam 2,unit-2-applications-of-differentiation-exam-2,exam,18.01sc-fall-2010,4,unit-2-applications-of-differentiation,2. Applications of Differentiation,4,2,27,,pages/unit-2-applications-of-differentiation/exam-2,
28,Session 42: Materials for Exam 2,unit-2-applications-of-differentiation-exam-2-materials-for-exam-2,exam,18.01sc-fall-2010,4,unit-2-applications-of-differentiation,2. Applications of Differentiation,4,42,28,,pages/unit-2-applications-of-differentiation/exam-2/materials-for-exam-2,
29,Session 41: Review for Exam 2,unit-2-applications-of-differentiation-exam-2-session-41-review-for-exam-2,exam,18.01sc-fall-2010,4,unit-2-applications-of-differentiation,2. Applications of Differentiation,4,41,29,,pages/unit-2-applications-of-differentiation/exam-2/session-41-review-for-exam-2,
30,Part A: Approximation and Curve Sketching,unit-2-applications-of-differentiation-part-a-approximation-and-curve-sketching,recitation,18.01sc-fall-2010,4,unit-2-applications-of-differentiation,2. Applications of Differentiation,0,2,30,,pages/unit-2-applications-of-differentiation/part-a-approximation-and-curve-sketching,
31,Problem Set 3,unit-2-applications-of-differentiation-part-a-approximation-and-curve-sketching-problem-set-3,recitation,18.01sc-fall-2010,4,unit-2-applications-of-differentiation,2. Applications of Differentiation,0,2,31,,pages/unit-2-applications-of-differentiation/part-a-approximation-and-curve-sketching/problem-set-3,
32,Session 23: Linear Approximation,unit-2-applications-of-differentiation-part-a-approximation-and-curve-sketching-session-23-linear-approximation,recitation,18.01sc-fall-2010,4,unit-2-applications-of-differentiation,2. Applications of Differentiation,0,23,32,,pages/unit-2-applications-of-differentiation/part-a-approximation-and-curve-sketching/session-23-linear-approximation,
33,Session 24: Examples of Linear Approximation,unit-2-applications-of-differentiation-part-a-approximation-and-curve-sketching-session-24-examples-of-linear-approximation,recitation,18.01sc-fall-2010,4,unit-2-applications-of-differentiation,2. Applications of Differentiation,0,24,33,,pages/unit-2-applications-of-differentiation/part-a-approximation-and-curve-sketching/session-24-examples-of-linear-approximation,
34,Session 25: Introduction to Quadratic Approximation,unit-2-applications-of-differentiation-part-a-approximation-and-curve-sketching-session-25-introduction-to-quadratic-appoximation,recitation,18.01sc-fall-2010,4,unit-2-applications-of-differentiation,2. Applications of Differentiation,1,25,34,,pages/unit-2-applications-of-differentiation/part-a-approximation-and-curve-sketching/session-25-introduction-to-quadratic-appoximation,
35,Session 26: Using Quadratic Approximations,unit-2-applications-of-differentiation-part-a-approximation-and-curve-sketching-session-26-using-quadratic-approximations,recitation,18.01sc-fall-2010,4,unit-2-applications-of-differentiation,2. Applications of Differentiation,1,26,35,,pages/unit-2-applications-of-differentiation/part-a-approximation-and-curve-sketching/session-26-using-quadratic-approximations,
36,Session 27: Sketching Graphs I - Polynomials and Rational Functions,unit-2-applications-of-differentiation-part-a-approximation-and-curve-sketching-session-27-sketching-graphs-i-polynomials-and-rational-functions,recitation,18.01sc-fall-2010,4,unit-2-applications-of-differentiation,2. Applications of Differentiation,1,27,36,,pages/unit-2-applications-of-differentiation/part-a-approximation-and-curve-sketching/session-27-sketching-graphs-i-polynomials-and-rational-functions,
37,Session 28: Sketching Graphs II - General Strategies,unit-2-applications-of-differentiation-part-a-approximation-and-curve-sketching-session-28-sketching-graphs-ii-general-strategies,exam,18.01sc-fall-2010,4,unit-2-applications-of-differentiation,2. Applications of Differentiation,5,28,37,,pages/unit-2-applications-of-differentiation/part-a-approximation-and-curve-sketching/session-28-sketching-graphs-ii-general-strategies,
38,Part B: Optimization, Related Rates and Newton's Method,unit-2-applications-of-differentiation-part-b-optimization-related-rates-and-newtons-method,problem_set,18.01sc-fall-2010,4,unit-2-applications-of-differentiation,2. Applications of Differentiation,4,2,38,,pages/unit-2-applications-of-differentiation/part-b-optimization-related-rates-and-newtons-method,
39,Problem Set 4,unit-2-applications-of-differentiation-part-b-optimization-related-rates-and-newtons-method-problem-set-4,recitation,18.01sc-fall-2010,4,unit-2-applications-of-differentiation,2. Applications of Differentiation,1,2,39,,pages/unit-2-applications-of-differentiation/part-b-optimization-related-rates-and-newtons-method/problem-set-4,
40,Session 29: Optimization Problems,unit-2-applications-of-differentiation-part-b-optimization-related-rates-and-newtons-method-session-29-optimization-problems,recitation,18.01sc-fall-2010,4,unit-2-applications-of-differentiation,2. Applications of Differentiation,1,29,40,,pages/unit-2-applications-of-differentiation/part-b-optimization-related-rates-and-newtons-method/session-29-optimization-problems,
41,Session 30: Optimization Problems II,unit-2-applications-of-differentiation-part-b-optimization-related-rates-and-newtons-method-session-30-optimization-problems-ii,recitation,18.01sc-fall-2010,4,unit-2-applications-of-differentiation,2. Applications of Differentiation,2,30,41,,pages/unit-2-applications-of-differentiation/part-b-optimization-related-rates-and-newtons-method/session-30-optimization-problems-ii,
42,Session 31: Related Rates,unit-2-applications-of-differentiation-part-b-optimization-related-rates-and-newtons-method-session-31-related-rates,recitation,18.01sc-fall-2010,4,unit-2-applications-of-differentiation,2. Applications of Differentiation,2,31,42,,pages/unit-2-applications-of-differentiation/part-b-optimization-related-rates-and-newtons-method/session-31-related-rates,
43,Session 32: Ring on a String,unit-2-applications-of-differentiation-part-b-optimization-related-rates-and-newtons-method-session-32-ring-on-a-string,lecture,18.01sc-fall-2010,4,unit-2-applications-of-differentiation,2. Applications of Differentiation,0,32,43,,pages/unit-2-applications-of-differentiation/part-b-optimization-related-rates-and-newtons-method/session-32-ring-on-a-string,
44,Session 33: Newton's Method,unit-2-applications-of-differentiation-part-b-optimization-related-rates-and-newtons-method-session-33-newtons-method,recitation,18.01sc-fall-2010,4,unit-2-applications-of-differentiation,2. Applications of Differentiation,2,33,44,,pages/unit-2-applications-of-differentiation/part-b-optimization-related-rates-and-newtons-method/session-33-newtons-method,
45,Part C: Mean Value Theorem, Antiderivatives and Differential Equations,unit-2-applications-of-differentiation-part-c-mean-value-theorem-antiderivatives-and-differential-equations,problem_set,18.01sc-fall-2010,4,unit-2-applications-of-differentiation,2. Applications of Differentiation,4,2,45,,pages/unit-2-applications-of-differentiation/part-c-mean-value-theorem-antiderivatives-and-differential-equations,
46,Problem Set 5,unit-2-applications-of-differentiation-part-c-mean-value-theorem-antiderivatives-and-differential-equations-problem-set-5,recitation,18.01sc-fall-2010,4,unit-2-applications-of-differentiation,2. Applications of Differentiation,2,2,46,,pages/unit-2-applications-of-differentiation/part-c-mean-value-theorem-antiderivatives-and-differential-equations/problem-set-5,
47,Session 34: Introduction to the Mean Value Theorem,unit-2-applications-of-differentiation-part-c-mean-value-theorem-antiderivatives-and-differential-equations-session-34-introduction-to-the-mean-value-theorem,recitation,18.01sc-fall-2010,4,unit-2-applications-of-differentiation,2. Applications of Differentiation,2,34,47,,pages/unit-2-applications-of-differentiation/part-c-mean-value-theorem-antiderivatives-and-differential-equations/session-34-introduction-to-the-mean-value-theorem,
48,Session 35: Using the Mean Value Theorem,unit-2-applications-of-differentiation-part-c-mean-value-theorem-antiderivatives-and-differential-equations-session-35-using-the-mean-value-theorem,recitation,18.01sc-fall-2010,4,unit-2-applications-of-differentiation,2. Applications of Differentiation,3,35,48,,pages/unit-2-applications-of-differentiation/part-c-mean-value-theorem-antiderivatives-and-differential-equations/session-35-using-the-mean-value-theorem,
49,Session 36: Differentials,unit-2-applications-of-differentiation-part-c-mean-value-theorem-antiderivatives-and-differential-equations-session-36-differentials,recitation,18.01sc-fall-2010,4,unit-2-applications-of-differentiation,2. Applications of Differentiation,3,36,49,,pages/unit-2-applications-of-differentiation/part-c-mean-value-theorem-antiderivatives-and-differential-equations/session-36-differentials,
50,Session 37: Antiderivatives,unit-2-applications-of-differentiation-part-c-mean-value-theorem-antiderivatives-and-differential-equations-session-37-antiderivatives,recitation,18.01sc-fall-2010,4,unit-2-applications-of-differentiation,2. Applications of Differentiation,3,37,50,,pages/unit-2-applications-of-differentiation/part-c-mean-value-theorem-antiderivatives-and-differential-equations/session-37-antiderivatives,
