id,label,item_id,kind,course_id,section_index,section_slug,section_title,section_chunk_index,week,order,tags,source_path,metrics
0,Lecture 1: The Importance of Chemical Principles,unit-i-the-atom-lecture-1,recitation,5.111sc-fall-2014,5,unit-i-the-atom,Unit I: The Atom,0,1,0,,pages/unit-i-the-atom/lecture-1,
1,Lecture 2: Atomic Structure,unit-i-the-atom-lecture-2,recitation,5.111sc-fall-2014,5,unit-i-the-atom,Unit I: The Atom,0,2,1,,pages/unit-i-the-atom/lecture-2,
2,Lecture 3: Wave-Particle Duality of Light,unit-i-the-atom-lecture-3,recitation,5.111sc-fall-2014,5,unit-i-the-atom,Unit I: The Atom,0,3,2,,pages/unit-i-the-atom/lecture-3,
3,Lecture 4: Wave-Particle Duality of Matter; Schrödinger Equation,unit-i-the-atom-lecture-4,recitation,5.111sc-fall-2014,5,unit-i-the-atom,Unit I: The Atom,0,4,3,,pages/unit-i-the-atom/lecture-4,
4,Lecture 5: Hydrogen Atom Energy Levels,unit-i-the-atom-lecture-5,recitation,5.111sc-fall-2014,5,unit-i-the-atom,Unit I: The Atom,0,5,4,,pages/unit-i-the-atom/lecture-5,
5,Lecture 6: Hydrogen Atom Wavefunctions (Orbitals),unit-i-the-atom-lecture-6,recitation,5.111sc-fall-2014,5,unit-i-the-atom,Unit I: The Atom,1,6,5,,pages/unit-i-the-atom/lecture-6,
6,Lecture 7: Multi-electron Atoms,unit-i-the-atom-lecture-7,recitation,5.111sc-fall-2014,5,unit-i-the-atom,Unit I: The Atom,1,7,6,,pages/unit-i-the-atom/lecture-7,
7,Lecture 10: Introduction to Lewis Structures,unit-ii-chemical-bonding-structure-lecture-10,recitation,5.111sc-fall-2014,6,unit-ii-chemical-bonding-structure,Unit II: Chemical Bonding & Structure,0,10,7,,pages/unit-ii-chemical-bonding-structure/lecture-10,
8,Lecture 11: Lewis Structures: Breakdown of the Octet Rule,unit-ii-chemical-bonding-structure-lecture-11,recitation,5.111sc-fall-2014,6,unit-ii-chemical-bonding-structure,Unit II: Chemical Bonding & Structure,0,11,8,,pages/unit-ii-chemical-bonding-structure/lecture-11,
9,Lecture 12: The Shapes of Molecules: VSEPR Theory,unit-ii-chemical-bonding-structure-lecture-12,recitation,5.111sc-fall-2014,6,unit-ii-chemical-bonding-structure,Unit II: Chemical Bonding & Structure,0,12,9,,pages/unit-ii-chemical-bonding-structure/lecture-12,
10,Lecture 13: Molecular Orbital Theory,unit-ii-chemical-bonding-structure-lecture-13,recitation,5.111sc-fall-2014,6,unit-ii-chemical-bonding-structure,Unit II: Chemical Bonding & Structure,0,13,10,,pages/unit-ii-chemical-bonding-structure/lecture-13,
11,Lecture 14: Valence Bond Theory and Hybridization,unit-ii-chemical-bonding-structure-lecture-14,recitation,5.111sc-fall-2014,6,unit-ii-chemical-bonding-structure,Unit II: Chemical Bonding & Structure,0,14,11,,pages/unit-ii-chemical-bonding-structure/lecture-14,
12,Lecture 8: The Periodic Table and Periodic Trends,unit-ii-chemical-bonding-structure-lecture-8,recitation,5.111sc-fall-2014,6,unit-ii-chemical-bonding-structure,Unit II: Chemical Bonding & Structure,1,8,12,,pages/unit-ii-chemical-bonding-structure/lecture-8,
13,Lecture 9: Periodic Table; Ionic and Covalent Bonds,unit-ii-chemical-bonding-structure-lecture-9,recitation,5.111sc-fall-2014,6,unit-ii-chemical-bonding-structure,Unit II: Chemical Bonding & Structure,1,9,13,,pages/unit-ii-chemical-bonding-structure/lecture-9,
14,Lecture 15: Thermodynamics: Bond and Reaction Enthalpies,unit-iii-thermodynamics-chemical-equilibrium-lecture-15,recitation,5.111sc-fall-2014,7,unit-iii-thermodynamics-chemical-equilibrium,Unit III: Thermodynamics & Chemical Equilibrium,0,15,14,,pages/unit-iii-thermodynamics-chemical-equilibrium/lecture-15,
15,Lecture 16: Thermodynamics: Gibbs Free Energy and Entropy,unit-iii-thermodynamics-chemical-equilibrium-lecture-16,recitation,5.111sc-fall-2014,7,unit-iii-thermodynamics-chemical-equilibrium,Unit III: Thermodynamics & Chemical Equilibrium,0,16,15,,pages/unit-iii-thermodynamics-chemical-equilibrium/lecture-16,
16,Lecture 17: Thermodynamics: Now What Happens When You Heat It Up?,unit-iii-thermodynamics-chemical-equilibrium-lecture-17,recitation,5.111sc-fall-2014,7,unit-iii-thermodynamics-chemical-equilibrium,Unit III: Thermodynamics & Chemical Equilibrium,0,17,16,,pages/unit-iii-thermodynamics-chemical-equilibrium/lecture-17,
17,Lecture 18: Introduction to Chemical Equilibrium,unit-iii-thermodynamics-chemical-equilibrium-lecture-18,recitation,5.111sc-fall-2014,7,unit-iii-thermodynamics-chemical-equilibrium,Unit III: Thermodynamics & Chemical Equilibrium,0,18,17,,pages/unit-iii-thermodynamics-chemical-equilibrium/lecture-18,
18,Lecture 19: Chemical Equilibrium: Le Châtelier’s Principle,unit-iii-thermodynamics-chemical-equilibrium-lecture-19,recitation,5.111sc-fall-2014,7,unit-iii-thermodynamics-chemical-equilibrium,Unit III: Thermodynamics & Chemical Equilibrium,0,19,18,,pages/unit-iii-thermodynamics-chemical-equilibrium/lecture-19,
19,Lecture 20: Solubility and Acid-Base Equilibrium,unit-iii-thermodynamics-chemical-equilibrium-lecture-20-solubility-and-acid-base-equilibrium,recitation,5.111sc-fall-2014,7,unit-iii-thermodynamics-chemical-equilibrium,Unit III: Thermodynamics & Chemical Equilibrium,1,20,19,,pages/unit-iii-thermodynamics-chemical-equilibrium/lecture-20-solubility-and-acid-base-equilibrium,
20,Lecture 21: Acid-Base Equilibrium: Is MIT Water Safe to Drink?,unit-iii-thermodynamics-chemical-equilibrium-lecture-21,recitation,5.111sc-fall-2014,7,unit-iii-thermodynamics-chemical-equilibrium,Unit III: Thermodynamics & Chemical Equilibrium,1,21,20,,pages/unit-iii-thermodynamics-chemical-equilibrium/lecture-21,
21,Lecture 22: Acid-Base Equilibrium: Salt Solutions and Buffers,unit-iii-thermodynamics-chemical-equilibrium-lecture-22,recitation,5.111sc-fall-2014,7,unit-iii-thermodynamics-chemical-equilibrium,Unit III: Thermodynamics & Chemical Equilibrium,1,22,21,,pages/unit-iii-thermodynamics-chemical-equilibrium/lecture-22,
22,Lecture 23: Acid-Base Titrations Part I,unit-iii-thermodynamics-chemical-equilibrium-lecture-23,recitation,5.111sc-fall-2014,7,unit-iii-thermodynamics-chemical-equilibrium,Unit III: Thermodynamics & Chemical Equilibrium,1,23,22,,pages/unit-iii-thermodynamics-chemical-equilibrium/lecture-23,
23,Lecture 24: Acid-Base Titrations Part II,unit-iii-thermodynamics-chemical-equilibrium-lecture-24,recitation,5.111sc-fall-2014,7,unit-iii-thermodynamics-chemical-equilibrium,Unit III: Thermodynamics & Chemical Equilibrium,1,24,23,,pages/unit-iii-thermodynamics-chemical-equilibrium/lecture-24,
24,Lecture 25: Oxidation-Reduction and Electrochemical Cells,unit-iv-transition-metals-oxidation-reduction-reactions-lecture-25,recitation,5.111sc-fall-2014,8,unit-iv-transition-metals-oxidation-reduction-reactions,Unit IV: Transition Metals & Oxidation-Reduction Reactions,0,25,24,,pages/unit-iv-transition-metals-oxidation-reduction-reactions/lecture-25,
25,Lecture 26: Chemical and Biological Oxidations,unit-iv-transition-metals-oxidation-reduction-reactions-lecture-26,recitation,5.111sc-fall-2014,8,unit-iv-transition-metals-oxidation-reduction-reactions,Unit IV: Transition Metals & Oxidation-Reduction Reactions,0,26,25,,pages/unit-iv-transition-metals-oxidation-reduction-reactions/lecture-26,
26,Lecture 27: Introduction to Transition Metals,unit-iv-transition-metals-oxidation-reduction-reactions-lecture-27,recitation,5.111sc-fall-2014,8,unit-iv-transition-metals-oxidation-reduction-reactions,Unit IV: Transition Metals & Oxidation-Reduction Reactions,0,27,26,,pages/unit-iv-transition-metals-oxidation-reduction-reactions/lecture-27,
27,Lecture 28: Transition Metals: Crystal Field Theory Part I,unit-iv-transition-metals-oxidation-reduction-reactions-lecture-28,recitation,5.111sc-fall-2014,8,unit-iv-transition-metals-oxidation-reduction-reactions,Unit IV: Transition Metals & Oxidation-Reduction Reactions,0,28,27,,pages/unit-iv-transition-metals-oxidation-reduction-reactions/lecture-28,
